ID_VRSTE,IME_VRSTE_LAT,IME_VRSTE_SRB,GRUPA_BILJAKA,ALERGENI_POTENCIJAL
1,Acer,Javor,Drveće,0
2,Alnus,Jova,Drveće,2
3,Ambrosia,Ambrozija,Korovi,2
4,Artemisia,Pelin,Korovi,1
5,Betula,Breza,Drveće,2
6,Cannabaceae,Konoplje,Korovi,0
7,Carpinus,Grab,Drveće,0
8,Chenop/Amar.,Pepeljuga/Štir,Korovi,1
9,Corylus,Leska,Drveće,1
10,Cupress/Taxa.,Tise/Čempresi,Drveće,1
11,Fagus,Bukva,Drveće,0
12,Fraxinus,Jasen,Drveće,1
13,Juglans,Orah,Drveće,1
14,Moraceae,Dud,Drveće,0
15,Pinaceae,Borovi/Jele,Drveće,0
16,Plantago,Bokvica,Korovi,1
17,Platanus,Platan,Drveće,1
18,Poaceae,Trave,Trave,2
19,Populus,Topola,Drveće,1
20,Quercus,Hrast,Drveće,1
21,Rumex,Kiselica,Korovi,1
22,Salix,Vrba,Drveće,0
23,Tilia,Lipa,Drveće,0
24,Ulmaceae,Brest,Drveće,0
25,Urticaceae,Kopriva,Korovi,2
